title,location,price,area,no_rooms,interior,year
ApartmentBredeweg43II,1098BNAmsterdam(Middenmeer),"€3,450permonth",134m²,5rooms,Upholstered,
ApartmentCliffordstraat,1051GPAmsterdam(Staatsliedenbuurt),"€1,750permonth",49m²,2rooms,Furnished,
ApartmentDerdeWeteringdwarsstraat23BV,1017TBAmsterdam(DeWeteringschans),"€1,875permonth",76m²,2rooms,Furnished,
ApartmentKleiburg1040,"1104EAAmsterdam(BijlmerOost(E,G,K))","€1,550permonth",70m²,3rooms,Upholsteredorfurnished,
ApartmentAdmiraalDeRuijterweg,1055MPAmsterdam(Landlust),"€3,750permonth",139m²,5rooms,,1906
ApartmentLaagteKadijk,1018BBAmsterdam(OostelijkeEilanden/Kadijken),"€2,250permonth",75m²,3rooms,Furnished,
ApartmentWillemParelstraat,1018KZAmsterdam(OostelijkeEilanden/Kadijken),"€1,700permonth",40m²,2rooms,Furnished,
ApartmentPieterOosterhuisstraat,1087HTAmsterdam(IJburgZuid),"€2,350permonth",112m²,3rooms,Upholstered,
ApartmentMagalhaensstraat,1057RVAmsterdam(Hoofdwege.o.),"€1,800permonth",55m²,3rooms,Upholstered,
ApartmentIJburglaan,1087ENAmsterdam(IJburgWest),"€2,500permonth",96m²,3rooms,Furnished,
ApartmentEersteAtjehstraat,1094KDAmsterdam(IndischeBuurtWest),"€2,275permonth",65m²,3rooms,Furnished,
ApartmentKerkstraat,1017HWAmsterdam(Grachtengordel-Zuid),"€5,000permonth",120m²,3rooms,Furnished,
ApartmentReestraat,1016DMAmsterdam(Grachtengordel-West),"€1,950permonth",70m²,2rooms,Furnished,
ApartmentPijlsteeg6,1012HHAmsterdam(Burgwallen-OudeZijde),"€2,250permonth",60m²,2rooms,Furnished,
ApartmentKleiburg,"1104EAAmsterdam(BijlmerOost(E,G,K))","€1,500permonth",50m²,3rooms,Furnished,
ApartmentCéramiquelaan211,1031KGAmsterdam(NoordelijkeIJ-oeversWest),"€15,000permonth",250m²,4rooms,Furnished,
ApartmentOudezijdsAchterburgwal,1012DAAmsterdam(Burgwallen-OudeZijde),"€1,850permonth",45m²,2rooms,Furnished,
ApartmentStadionweg,1077TAAmsterdam(Apollobuurt),"€3,000permonth",120m²,3rooms,,1931-1944
ApartmentFransHalsstraat893,1072BPAmsterdam(OudePijp),"€2,250permonth",70m²,3rooms,Furnished,
ApartmentGroenburgwal,1011HTAmsterdam(Nieuwmarkt/Lastage),"€1,800permonth",52m²,2rooms,Upholstered,
ApartmentRhijnvisFeithstraat24E,1054TXAmsterdam(OvertoomseSluis),"€2,500permonth",52m²,2rooms,Upholsteredorfurnished,
ApartmentAmstel,1017ACAmsterdam(Grachtengordel-Zuid),"€3,250permonth",144m²,4rooms,Furnished,
ApartmentVanBoetzelaerstraat,1051CXAmsterdam(Staatsliedenbuurt),"€1,650permonth",44m²,2rooms,Furnished,
ApartmentJanBernardusstraat,1091TRAmsterdam(Weesperzijde),"€2,100permonth",55m²,2rooms,Furnished,
ApartmentStadionkade,1076BJAmsterdam(Stadionbuurt),"€2,975permonth",100m²,3rooms,Upholstered,
ApartmentOudeLeliestraat6,1015AWAmsterdam(Grachtengordel-West),"€2,300permonth",75m²,2rooms,Furnished,
ApartmentWesterstraat,1015LWAmsterdam(Jordaan),"€1,900permonth",49m²,3rooms,Furnished,
ApartmentNieuwezijdsVoorburgwal,1012RZAmsterdam(Burgwallen-NieuweZijde),"€2,150permonth",60m²,2rooms,Furnished,
ApartmentGovertFlinckstraat,1072EHAmsterdam(OudePijp),"€2,300permonth",55m²,3rooms,Furnished,
ApartmentEersteVanSwindenstraat76H,1093GHAmsterdam(Dapperbuurt),"€2,300permonth",59m²,3rooms,,1892
ApartmentSarphatistraat,1018GKAmsterdam(Weesperbuurt/Plantage),"€2,350permonth",61m²,3rooms,Upholstered,
HouseJanHanzenstraat127,1053SPAmsterdam(Kinkerbuurt),"€2,550permonth",60m²,2rooms,Furnished,
ApartmentMercuriusplein3C,1033AZAmsterdam(TuindorpOostzaan),"€1,240permonth",47m²,2rooms,Shell,
ApartmentFinsenstraat74,1098RJAmsterdam(Middenmeer),"€2,750permonth",120m²,4rooms,Upholstered,
ApartmentPieterCalandlaan,1069SCAmsterdam(Osdorp-Midden),"€1,750permonth",105m²,5rooms,,2006
ApartmentNieuwendijk362,1012MLAmsterdam(Burgwallen-NieuweZijde),"€2,950permonth",90m²,4rooms,Upholstered,
ApartmentNieuwendijk361,1012MLAmsterdam(Burgwallen-NieuweZijde),"€1,850permonth",57m²,2rooms,Upholstered,
ApartmentSprinklerstraat37,1019VRAmsterdam(OostelijkHavengebied),"€1,850permonth",62m²,2rooms,Upholstered,
ApartmentWillemParelstraat,1018KZAmsterdam(OostelijkeEilanden/Kadijken),"€1,700permonth",44m²,2rooms,Upholstered,
ApartmentDeLairessestraat1721,1075HMAmsterdam(Willemspark),"€2,850permonth",84m²,3rooms,Furnished,
ApartmentMarcusstraat,1091TJAmsterdam(Weesperzijde),"€2,000permonth",49m²,2rooms,Furnished,
ApartmentPrinsengracht,1017KHAmsterdam(DeWeteringschans),"€3,500permonth",75m²,3rooms,Furnished,
