title,location,price,area,no_rooms,interior,year
ApartmentRosmarijnsteeg,1012RPAmsterdam(Burgwallen-NieuweZijde),"€2,100permonth",50m²,2rooms,Furnished,
ApartmentErtskade178,1019BBAmsterdam(OostelijkHavengebied),"€1,775permonth",78m²,3rooms,Upholstered,
ApartmentStadionweg37III,1077RWAmsterdam(Apollobuurt),"€6,250permonth",232m²,6rooms,Upholstered,
ApartmentBoutenburg231,1068ZEAmsterdam(Osdorp-Oost),"€2,500permonth",65m²,3rooms,Furnished,
ApartmentOvertoom216IV,1054HZAmsterdam(Helmersbuurt),"€1,950permonth",65m²,2rooms,Upholstered,
ApartmentRijnstraat,1078PWAmsterdam(IJselbuurt),"€2,650permonth",72m²,3rooms,Upholstered,
ApartmentBellamystraat,1053BGAmsterdam(Kinkerbuurt),"€3,950permonth",100m²,4rooms,,
ApartmentDerdeHugodeGrootstraat,1052LKAmsterdam(FrederikHendrikbuurt),"€1,850permonth",51m²,2rooms,Upholstered,
ApartmentKastanjeweg2HS,1092CEAmsterdam(Oosterparkbuurt),"€3,250permonth",130m²,4rooms,,
ApartmentEersteHelmersstraat2384,1054ERAmsterdam(OvertoomseSluis),"€1,950permonth",50m²,2rooms,Upholsteredorfurnished,
ApartmentRubensstraat,1077MVAmsterdam(Apollobuurt),"€3,750permonth",127m²,5rooms,Furnished,
ApartmentFaasWilkesstraat161A,1095MDAmsterdam(Zeeburgereiland/NieuweDiep),"€1,395permonth",73m²,2rooms,Shell,
ApartmentSingel,1017AXAmsterdam(Grachtengordel-Zuid),"€1,850permonth",52m²,2rooms,Upholstered,
ApartmentIJburglaan883,1087ENAmsterdam(IJburgWest),"€2,500permonth",123m²,4rooms,Upholstered,
ApartmentBurmanstraat,1091SKAmsterdam(Weesperzijde),"€1,795permonth",50m²,2rooms,Furnished,
ApartmentHemonystraat1II,1074BKAmsterdam(OudePijp),"€2,750permonth",110m²,4rooms,Upholstered,
ApartmentSlotermeerlaan,1064GZAmsterdam(Slotermeer-Zuidwest),"€1,700permonth",75m²,2rooms,Furnished,
ApartmentSingel1033,1012VGAmsterdam(Burgwallen-NieuweZijde),"€2,500permonth",110m²,3rooms,Furnished,
ApartmentJulianavanStolbergstraat,1055RMAmsterdam(Landlust),"€3,750permonth",52m²,3rooms,Furnished,
ApartmentPrinsHendriklaan38D,1075BDAmsterdam(Willemspark),"€2,350permonth",100m²,3rooms,Upholsteredorfurnished,
ApartmentBilderdijkstraat,1052NAAmsterdam(DaCostabuurt),"€2,250permonth",80m²,3rooms,Upholstered,
ApartmentAmstelkade,1078BAAmsterdam(Scheldebuurt),"€2,700permonth",104m²,4rooms,,1929
ApartmentSarphatistraat678,1018AVAmsterdam(OostelijkeEilanden/Kadijken),"€2,200permonth",75m²,3rooms,Furnished,
ApartmentGeorgeSandstraat2,"1102AGAmsterdam(BijlmerCentrum(D,F,H))","€1,750permonth",54m²,2rooms,Upholsteredorfurnished,
ApartmentTermini331,1025XMAmsterdam(Buikslotermeer),"€1,420permonth",73m²,3rooms,Upholstered,
ApartmentTermini167,1025XMAmsterdam(Buikslotermeer),"€1,230permonth",53m²,2rooms,Upholstered,
ApartmentVrijheidslaan113,1079KAAmsterdam(Rijnbuurt),"€2,750permonth",100m²,4rooms,Furnished,
ApartmentHerengracht369,1016BBAmsterdam(Grachtengordel-West),"€3,750permonth",133m²,6rooms,,1735
ApartmentTermini41,1025XMAmsterdam(Buikslotermeer),"€1,210permonth",53m²,2rooms,Shell,
ApartmentTommasoAlbinonistraat1642pp,1083HMAmsterdam(Zuidas),"€7,750permonth",177m²,3rooms,Furnished,
StudioSchaarsbergenstraat39,1107JSAmsterdam(Holendrecht/Reigersbos),"€1,200permonth",34m²,1room,Furnished,
ApartmentRidderspoorweg157,1032LLAmsterdam(NoordelijkeIJ-oeversWest),"€2,400permonth",72m²,1room,Upholsteredorfurnished,
ApartmentScheldestraat,1078GEAmsterdam(Scheldebuurt),"€2,500permonth",89m²,4rooms,Upholstered,
ApartmentGaaspstraat251,1079VBAmsterdam(Rijnbuurt),"€2,000permonth",51m²,3rooms,Upholstered,
ApartmentReguliersdwarsstraat2III,1017BMAmsterdam(Grachtengordel-Zuid),"€1,800permonth",55m²,2rooms,Upholstered,
ApartmentZeelandstraat601,1082BZAmsterdam(Buitenveldert-West),"€2,400permonth",110m²,6rooms,Upholstered,
ApartmentEntrepothof100,1019DLAmsterdam(OostelijkHavengebied),"€1,850permonth",80m²,3rooms,Upholstered,
ApartmentJavakade,1019SCAmsterdam(OostelijkHavengebied),"€1,900permonth",102m²,3rooms,Furnished,
ApartmentJohannesVerhulststraat,1075HBAmsterdam(Willemspark),"€5,850permonth",245m²,9rooms,Upholstered,
ApartmentRapenburgerstraat,1011VMAmsterdam(Nieuwmarkt/Lastage),"€3,250permonth",125m²,4rooms,Upholstered,
ApartmentJanvanDuivenvoordestraat119,1067MTAmsterdam(Geuzenveld),"€1,900permonth",95m²,4rooms,Furnished,
ApartmentGustavMahlerlaan,1082MEAmsterdam(Zuidas),"€3,950permonth",112m²,3rooms,Furnished,
ApartmentPrinsengracht,1017KKAmsterdam(DeWeteringschans),"€4,500permonth",185m²,6rooms,Upholstered,
ApartmentRooseveltlaan402,1078NKAmsterdam(Scheldebuurt),"€3,500permonth",128m²,5rooms,Upholstered,
ApartmentRuysdaelstraat,1071WZAmsterdam(Museumkwartier),"€2,300permonth",66m²,3rooms,Upholstered,
ApartmentOrteliuskade,1057AHAmsterdam(Hoofdwege.o.),"€1,725permonth",62m²,3rooms,Furnished,
ApartmentLeidsekade102D,1017PPAmsterdam(DeWeteringschans),"€4,500permonth",141m²,3rooms,Furnished,
ApartmentPrinsengracht17C,1015DKAmsterdam(Grachtengordel-West),"€2,300permonth",80m²,4rooms,Upholstered,
ApartmentWeteringschans,1017RWAmsterdam(DeWeteringschans),"€2,200permonth",70m²,3rooms,Upholstered,
ApartmentBankastraat,1094EBAmsterdam(IndischeBuurtWest),"€1,600permonth",60m²,2rooms,,1900
ApartmentErtskade22,1019BBAmsterdam(OostelijkHavengebied),"€2,400permonth",138m²,4rooms,Upholstered,
ApartmentOudeschans7D,1011KPAmsterdam(Nieuwmarkt/Lastage),"€2,950permonth",90m²,3rooms,Upholstered,
ApartmentOsdorpplein,1068TDAmsterdam(Osdorp-Oost),"€1,650permonth",65m²,2rooms,,2021-2030
HouseLeidsegracht,1016CPAmsterdam(Grachtengordel-West),"€6,000permonth",201m²,6rooms,,
ApartmentReyerAnslostraat19hs,1054KTAmsterdam(OvertoomseSluis),"€2,850permonth",103m²,3rooms,,
ApartmentVolewijkshof33,1031AGAmsterdam(Volewijck),"€1,600permonth",75m²,3rooms,,
ApartmentOphemerthof,1106VSAmsterdam(Holendrecht/Reigersbos),"€1,600permonth",60m²,3rooms,Furnished,
ApartmentKastelenstraat3073,1082EHAmsterdam(Buitenveldert-West),"€1,650permonth",75m²,3rooms,,1961
ApartmentRijnstraat,1078RBAmsterdam(IJselbuurt),"€1,250permonth",35m²,2rooms,,1922
ApartmentLorreinenstraat8H,1055CZAmsterdam(Erasmuspark),"€2,150permonth",85m²,3rooms,Furnished,
ApartmentKoninginneweg,1075EEAmsterdam(Willemspark),"€2,950permonth",90m²,3rooms,,1912
ApartmentBarentszplein,1013NJAmsterdam(Spaarndammer-enZeeheldenbuurt),"€2,500permonth",83m²,2rooms,Furnished,
ApartmentSassenheimstraat65C,1059BDAmsterdam(Hoofddorppleinbuurt),"€3,750permonth",115m²,5rooms,Upholstered,
ApartmentKuipersstraat,1074EKAmsterdam(NieuwePijp),"€2,950permonth",77m²,3rooms,Upholstered,
ApartmentAdmiraalDeRuijterweg,1055MVAmsterdam(Landlust),"€3,975permonth",110m²,5rooms,,
ApartmentJanEvertsenstraat,1056EGAmsterdam(VanGalenbuurt),"€1,595permonth",49m²,3rooms,Upholstered,
ApartmentCornelisVermuydenstraat,1018RNAmsterdam(OostelijkeEilanden/Kadijken),"€2,200permonth",75m²,3rooms,Furnished,
ApartmentVanSpilbergenstraat,1057RJAmsterdam(Hoofdwege.o.),"€1,850permonth",55m²,3rooms,Upholsteredorfurnished,
ApartmentDerdeHelmersstraat,1054BMAmsterdam(Helmersbuurt),"€4,000permonth",122m²,4rooms,Upholstered,
ApartmentOostenburgergracht57B,1018NBAmsterdam(OostelijkeEilanden/Kadijken),"€2,650permonth",80m²,3rooms,Furnished,
HouseLijnbaansgracht,1015GSAmsterdam(Jordaan),"€2,300permonth",57m²,3rooms,Furnished,
ApartmentFransvanMierisstraat,1071RVAmsterdam(Museumkwartier),"€3,750permonth",107m²,4rooms,Upholstered,
HousePlantageMuidergracht,1018TMAmsterdam(Weesperbuurt/Plantage),"€1,850permonth",55m²,2rooms,,1906-1930
ApartmentKerkstraat,1017HXAmsterdam(Grachtengordel-Zuid),"€2,500permonth",70m²,3rooms,Furnished,
ApartmentEersteHelmersstraat2892,1054EAAmsterdam(OvertoomseSluis),"€3,100permonth",70m²,3rooms,Furnished,
ApartmentMercatorstraat383,1056RHAmsterdam(VanGalenbuurt),"€1,850permonth",65m²,3rooms,Furnished,
ApartmentAlbertCuypstraat,1073BKAmsterdam(OudePijp),"€2,145permonth",70m²,2rooms,Furnished,
ApartmentGustavMahlerlaan931,1082MKAmsterdam(Zuidas),"€3,400permonth",110m²,3rooms,Furnished,
ApartmentMeerenVaart38C,1068ZZAmsterdam(Osdorp-Oost),"€1,910permonth",166m²,4rooms,,2006
ApartmentSpinozastraat,1018HJAmsterdam(Weesperbuurt/Plantage),"€3,450permonth",140m²,5rooms,Furnished,
ApartmentOvertoom,1054JDAmsterdam(Helmersbuurt),"€2,500permonth",87m²,3rooms,Upholstered,
HouseLeidsegracht,1017NCAmsterdam(DeWeteringschans),"€2,000permonth",120m²,3rooms,Upholstered,
HouseHerengracht315,1016AVAmsterdam(Grachtengordel-West),"€3,250permonth",170m²,4rooms,Upholstered,
ApartmentBrouwersgracht75G,1015GCAmsterdam(Grachtengordel-West),"€2,850permonth",138m²,3rooms,,Before1906
HousePythagorasstraat,1098GBAmsterdam(Middenmeer),"€3,250permonth",106m²,4rooms,Upholstered,
ApartmentCeintuurbaan,1074CZAmsterdam(OudePijp),"€3,250permonth",178m²,5rooms,,
ApartmentJavastraat,1094HNAmsterdam(IndischeBuurtWest),"€1,750permonth",46m²,2rooms,Furnished,
ApartmentPieterCalandlaan,1060TXAmsterdam(MiddelveldscheAkerpolder),"€2,250permonth",96m²,4rooms,Furnished,
ApartmentMarnixstraat1983,1016TJAmsterdam(Jordaan),"€2,850permonth",119m²,3rooms,Furnished,
ApartmentHerengracht,1015BKAmsterdam(Grachtengordel-West),"€2,000permonth",60m²,2rooms,Furnished,
ApartmentLauriergracht92H,1016RNAmsterdam(Jordaan),"€4,350permonth",150m²,5rooms,Furnished,
ApartmentHerengracht,1016BHAmsterdam(Grachtengordel-West),"€2,850permonth",123m²,3rooms,Furnished,
ApartmentVanWalbeeckstraat,1058CXAmsterdam(WestindischeBuurt),"€1,700permonth",59m²,3rooms,Upholstered,
ApartmentAdmiraalDeRuijterweg893,1056ETAmsterdam(Geuzenbuurt),"€1,800permonth",63m²,2rooms,Furnished,
HouseSingel377,1012WLAmsterdam(Burgwallen-NieuweZijde),"€3,450permonth",115m²,4rooms,Upholsteredorfurnished,
ApartmentEersteHelmersstraat,1054DZAmsterdam(OvertoomseSluis),"€2,000permonth",62m²,2rooms,Furnished,
ApartmentPoeldijkstraat357PP,1059VLAmsterdam(Westlandgracht),"€3,750permonth",115m²,4rooms,Upholstered,
ApartmentAdmiraliteitstraat,1018KPAmsterdam(OostelijkeEilanden/Kadijken),"€1,675permonth",60m²,2rooms,Upholstered,
ApartmentAlbertCuypstraat,1072CRAmsterdam(OudePijp),"€2,300permonth",50m²,3rooms,Furnished,
HouseWillemskerkestraat,1069AAAmsterdam(Osdorp-Midden),"€2,995permonth",138m²,7rooms,Furnished,
ApartmentBilderdijkstraat,1053KNAmsterdam(DaCostabuurt),"€2,650permonth",120m²,3rooms,Upholstered,
HouseAmelandstraat,1025RKAmsterdam(TuindorpBuiksloot),"€2,100permonth",141m²,4rooms,Furnished,
ApartmentValkenburgerstraat132F,1011NAAmsterdam(Nieuwmarkt/Lastage),"€3,150permonth",95m²,3rooms,Furnished,
ApartmentWarmoesstraat50Y,1012JEAmsterdam(Burgwallen-OudeZijde),"€2,150permonth",50m²,2rooms,Upholsteredorfurnished,
ApartmentKeizersgracht634L,1017ERAmsterdam(Grachtengordel-Zuid),"€1,950permonth",65m²,2rooms,Furnished,
ApartmentGeorgeGershwinlaan46,1082MTAmsterdam(Zuidas),"€3,250permonth",80m²,3rooms,Furnished,
ApartmentAlbatrospad1427,1021TRAmsterdam(IJplein/Vogelbuurt),"€2,950permonth",130m²,3rooms,Furnished,
ApartmentKromme-Mijdrechtstraat,1079KPAmsterdam(Rijnbuurt),"€2,950permonth",75m²,3rooms,Upholstered,
ApartmentPlantageMuidergracht554,1018TMAmsterdam(Weesperbuurt/Plantage),"€1,990permonth",65m²,2rooms,Upholsteredorfurnished,
ApartmentOostenburgervoorstraat,1018MNAmsterdam(OostelijkeEilanden/Kadijken),"€2,975permonth",130m²,4rooms,Furnished,
ApartmentLindengracht,1015KJAmsterdam(Jordaan),"€4,000permonth",210m²,6rooms,Upholstered,
HouseGenhoes4,1082BCAmsterdam(Buitenveldert-West),"€14,000permonth",342m²,8rooms,Upholstered,
ApartmentMinervalaan33H,1077NLAmsterdam(Apollobuurt),"€4,450permonth",164m²,7rooms,Upholstered,
ApartmentBellaVistastraat,1096GMAmsterdam(Omval/Overamstel),"€3,250permonth",116m²,4rooms,Furnished,
ApartmentMaartenJansz.Kosterstraat,1017VZAmsterdam(DeWeteringschans),"€2,950permonth",115m²,4rooms,Furnished,
StudioFerdinandBolstraat,1072LJAmsterdam(OudePijp),"€1,800permonth",40m²,1room,,
ApartmentSaxenburgerstraat,1054KMAmsterdam(OvertoomseSluis),"€3,250permonth",116m²,4rooms,Furnished,
ApartmentNieuweLeliestraat,1015SXAmsterdam(Jordaan),"€2,450permonth",73m²,2rooms,Furnished,
ApartmentKromme-Mijdrechtstraat,1079KPAmsterdam(Rijnbuurt),"€2,350permonth",80m²,2rooms,Furnished,
ApartmentVanTuyllvanSerooskerkenweg621,1076JNAmsterdam(Stadionbuurt),"€2,400permonth",80m²,3rooms,Furnished,
ApartmentBrouwersgracht,1013HCAmsterdam(Haarlemmerbuurt),"€3,000permonth",101m²,3rooms,Furnished,
ApartmentJ.F.vanHengelstraat,1019DCAmsterdam(OostelijkHavengebied),"€2,795permonth",140m²,3rooms,Upholstered,
HouseKeverberg,1082BDAmsterdam(Buitenveldert-West),"€3,950permonth",170m²,5rooms,Upholstered,
ApartmentArentJanszoonErnststraat43,1083GPAmsterdam(Buitenveldert-Oost),"€2,950permonth",135m²,4rooms,Furnished,
ApartmentAmstel,1018ESAmsterdam(Weesperbuurt/Plantage),"€3,250permonth",82m²,3rooms,Furnished,
ApartmentVierwindenstraat,1013LAAmsterdam(Haarlemmerbuurt),"€7,500permonth",236m²,9rooms,Furnished,
HouseAdriënneSolserhof2,1087MTAmsterdam(IJburgZuid),"€3,750permonth",176m²,4rooms,Upholstered,
ApartmentVenetiëhof67,1019NBAmsterdam(OostelijkHavengebied),"€2,250permonth",102m²,4rooms,Furnished,
ApartmentPrinsengracht1069,1017JGAmsterdam(Grachtengordel-Zuid),"€3,750permonth",142m²,3rooms,Upholstered,
ApartmentAnnaBlamansingel,"1102STAmsterdam(BijlmerCentrum(D,F,H))","€2,450permonth",102m²,3rooms,,2006
ApartmentGroteBickersstraat23H,1013KNAmsterdam(Haarlemmerbuurt),"€2,200permonth",62m²,2rooms,Furnished,
ApartmentGelrestraat,1079MZAmsterdam(Scheldebuurt),"€1,725permonth",55m²,2rooms,,2015
ApartmentEefKamerbeekstraat302,1095MPAmsterdam(Zeeburgereiland/NieuweDiep),"€2,500permonth",126m²,4rooms,Upholstered,
ApartmentRapenburgerstraat,1011MKAmsterdam(Nieuwmarkt/Lastage),"€2,350permonth",90m²,3rooms,Furnished,
ApartmentHofgeest15,"1102EAAmsterdam(BijlmerCentrum(D,F,H))","€1,450permonth",90m²,4rooms,Upholstered,
ApartmentKribbestraat,1079WVAmsterdam(Rijnbuurt),"€2,150permonth",58m²,3rooms,Upholstered,
ApartmentAmstelveenseweg,1075XRAmsterdam(Schinkelbuurt),"€2,500permonth",92m²,4rooms,Furnished,
ApartmentVierwindenstraat,1013CWAmsterdam(Haarlemmerbuurt),"€2,300permonth",95m²,3rooms,Upholsteredorfurnished,
ApartmentCornelisSchuytstraat,1071JHAmsterdam(Museumkwartier),"€4,250permonth",142m²,4rooms,,
ApartmentWilhelminastraat,1054WSAmsterdam(OvertoomseSluis),"€1,950permonth",75m²,2rooms,Furnished,
ApartmentVrijheidslaan752,1079KGAmsterdam(Rijnbuurt),"€2,500permonth",65m²,3rooms,,1921
ApartmentKorteKoningsstraat14bgg,1011GAAmsterdam(Nieuwmarkt/Lastage),"€2,100permonth",120m²,2rooms,Furnished,
ApartmentNieuweOostenburgerstraat1D,1018MBAmsterdam(OostelijkeEilanden/Kadijken),"€3,000permonth",120m²,5rooms,,
ApartmentVeembroederhof177,1019HDAmsterdam(OostelijkHavengebied),"€3,000permonth",146m²,3rooms,Furnished,
ApartmentOkeghemstraat35,1075PLAmsterdam(Willemspark),"€3,950permonth",120m²,4rooms,,
ApartmentSilodam,1013AWAmsterdam(Houthavens),"€2,950permonth",135m²,5rooms,Furnished,
ApartmentHoofdweg,1058BCAmsterdam(WestindischeBuurt),"€3,250permonth",155m²,6rooms,Upholstered,
ApartmentKortePrinsengracht46A,1013GTAmsterdam(Haarlemmerbuurt),"€4,675permonth",170m²,5rooms,,
ApartmentFransvanMierisstraat,1071RRAmsterdam(Museumkwartier),"€2,750permonth",100m²,3rooms,Furnished,
HouseOostenburgervoorstraat,1018MNAmsterdam(OostelijkeEilanden/Kadijken),"€2,000permonth",110m²,4rooms,,2011-2020
ApartmentMarcusstraat117,1091TJAmsterdam(Weesperzijde),"€2,750permonth",117m²,4rooms,Furnished,
ApartmentKalkmarkt,1011BCAmsterdam(Nieuwmarkt/Lastage),"€1,795permonth",45m²,2rooms,Furnished,
ApartmentVanHallstraat,1051GXAmsterdam(Staatsliedenbuurt),"€2,150permonth",50m²,2rooms,Furnished,
ApartmentMarskramerstraat,1033WGAmsterdam(Oostzanerwerf),"€3,200permonth",196m²,6rooms,,2007
ApartmentAlbertCuypstraat,1072CNAmsterdam(OudePijp),"€2,600permonth",100m²,3rooms,Upholstered,
ApartmentKeizersgracht,1017ESAmsterdam(Grachtengordel-Zuid),"€2,750permonth",78m²,2rooms,Furnished,
ApartmentKeizersgracht,1017ESAmsterdam(Grachtengordel-Zuid),"€2,750permonth",80m²,2rooms,Furnished,
ApartmentPieterdeHoochstraat,1071EDAmsterdam(Museumkwartier),"€3,700permonth",130m²,3rooms,Furnished,
HouseEefKamerbeekpad1,1095MZAmsterdam(Zeeburgereiland/NieuweDiep),"€3,500permonth",160m²,5rooms,Upholsteredorfurnished,
ApartmentHogewerf,1082NGAmsterdam(Buitenveldert-Oost),"€2,250permonth",85m²,2rooms,Furnished,
ApartmentVätternkade,1060PKAmsterdam(MiddelveldscheAkerpolder),"€2,450permonth",120m²,4rooms,Upholsteredorfurnished,
HouseAkerpolderstraat,1066ETAmsterdam(Sloter-/Riekerpolder),"€3,300permonth",169m²,6rooms,Upholstered,
HousePijlkruidstraat1,1087CEAmsterdam(IJburgWest),"€2,750permonth",135m²,5rooms,Upholstered,
ApartmentRieMastenbroekstraat47,1095MJAmsterdam(Zeeburgereiland/NieuweDiep),"€1,750permonth",70m²,3rooms,Upholsteredorfurnished,
ApartmentDerdeSchinkelstraat4A,1075TLAmsterdam(Schinkelbuurt),"€2,650permonth",70m²,4rooms,Upholstered,
ApartmentTweedeJanvanderHeijdenstraat3H,1073VEAmsterdam(OudePijp),"€6,000permonth",149m²,5rooms,Furnished,
ApartmentKeizersgracht,1017DLAmsterdam(Grachtengordel-Zuid),"€3,450permonth",120m²,3rooms,Furnished,
ApartmentGalileïplantsoen,1098NCAmsterdam(Middenmeer),"€3,500permonth",140m²,4rooms,Upholstered,
ApartmentH.Diesveldsingel,1060RLAmsterdam(MiddelveldscheAkerpolder),"€1,750permonth",100m²,3rooms,Furnished,
ApartmentBorneostraat,1094CJAmsterdam(IndischeBuurtWest),"€2,200permonth",107m²,3rooms,Furnished,
ApartmentJanvanGalenstraat1831,1056BSAmsterdam(VanGalenbuurt),"€1,650permonth",50m²,2rooms,Upholstered,
ApartmentCéramiquelaan,1031KGAmsterdam(NoordelijkeIJ-oeversWest),"€4,000permonth",110m²,4rooms,Furnished,
ApartmentNieuwezijdsVoorburgwal255,1012RLAmsterdam(Burgwallen-NieuweZijde),"€2,650permonth",111m²,3rooms,Upholstered,
ApartmentHaparandaweg,1013BDAmsterdam(Houthavens),"€1,750permonth",50m²,2rooms,Furnished,
ApartmentLucellestraat,1055HXAmsterdam(Landlust),"€2,000permonth",59m²,3rooms,Upholstered,
ApartmentJacobvanLennepkade,1054ZGAmsterdam(Helmersbuurt),"€1,950permonth",56m²,2rooms,Furnished,
ApartmentVanTuyllvanSerooskerkenweg1103,1076JRAmsterdam(Stadionbuurt),"€3,850permonth",125m²,5rooms,Furnished,
ApartmentCornelisSchuytstraat252+3,1071JDAmsterdam(Museumkwartier),"€3,950permonth",150m²,4rooms,Upholstered,
ApartmentNieuweLeliestraat,1015SPAmsterdam(Jordaan),"€2,750permonth",73m²,3rooms,Furnished,
ApartmentGrootzeil,1034LVAmsterdam(BanneBuiksloot),"€2,250permonth",93m²,4rooms,Furnished,
HouseJohannesVerhulststraat151H,1075GWAmsterdam(Willemspark),"€11,000permonth",255m²,10rooms,Upholstered,
ApartmentS.F.vanOssstraat,1068JNAmsterdam(Osdorp-Oost),"€1,550permonth",55m²,2rooms,Furnished,
ApartmentSarphatipark,1073CZAmsterdam(NieuwePijp),"€3,000permonth",88m²,3rooms,Upholstered,
ApartmentGeldersekade45A,1011EJAmsterdam(Nieuwmarkt/Lastage),"€1,600permonth",46m²,1room,,1735
ApartmentSingel436E,1017AVAmsterdam(Grachtengordel-Zuid),"€3,250permonth",140m²,3rooms,Upholsteredorfurnished,
HouseSchapenburgerpad20,1071ZAAmsterdam(Museumkwartier),"€4,000permonth",198m²,6rooms,Upholsteredorfurnished,
ApartmentPrinsengracht6894,1017JVAmsterdam(Grachtengordel-Zuid),"€2,250permonth",65m²,2rooms,Furnished,
ApartmentKorteOuderkerkerdijk1C1,1096ACAmsterdam(Omval/Overamstel),"€3,850permonth",139m²,3rooms,,2021
ApartmentGustavMahlerlaan359,1082MKAmsterdam(Zuidas),"€5,850permonth",132m²,3rooms,Upholsteredorfurnished,
ApartmentNassaukade123III,1052ECAmsterdam(FrederikHendrikbuurt),"€3,250permonth",108m²,4rooms,,1910
ApartmentGustavMahlerplein285PH,1082MSAmsterdam(Zuidas),"€8,000permonth",193m²,4rooms,Furnished,
ApartmentNieuwePrinsengracht,1018XHAmsterdam(Weesperbuurt/Plantage),"€1,950permonth",90m²,2rooms,Furnished,
ApartmentRustenburgerstraat146A20,1073GJAmsterdam(NieuwePijp),"€2,300permonth",55m²,3rooms,Furnished,
ApartmentValeriusplein263,1075BHAmsterdam(Willemspark),"€4,000permonth",85m²,3rooms,Furnished,
ApartmentTweedeJanSteenstraat25H,1073VLAmsterdam(OudePijp),"€2,675permonth",83m²,3rooms,Furnished,
ApartmentPieterCornelisz.Hooftstraat,1071BMAmsterdam(Museumkwartier),"€2,750permonth",70m²,3rooms,,1904
ApartmentVanBaerlestraat143,1071AWAmsterdam(Museumkwartier),"€2,800permonth",162m²,4rooms,Upholstered,
ApartmentTommasoAlbinonistraat166,1083HMAmsterdam(Zuidas),"€5,000permonth",197m²,5rooms,Upholstered,
ApartmentDenTexstraat8B,1017ZAAmsterdam(DeWeteringschans),"€3,950permonth",126m²,3rooms,Furnished,
ApartmentPapaverweg,1032KHAmsterdam(Volewijck),"€1,395permonth",40m²,2rooms,Upholstered,
ApartmentJohannesVerhulststraat,1071NEAmsterdam(Museumkwartier),"€3,200permonth",135m²,5rooms,Upholstered,
HousePrinseneiland59,1013LMAmsterdam(Haarlemmerbuurt),"€2,950permonth",120m²,3rooms,Furnished,
ApartmentNieuwendijk,1012MPAmsterdam(Burgwallen-NieuweZijde),"€3,000permonth",92m²,3rooms,Furnished,
ApartmentRechtBoomssloot14E,1011EAAmsterdam(Nieuwmarkt/Lastage),"€3,950permonth",145m²,4rooms,Furnished,
ApartmentKeizersgracht391E,1016EJAmsterdam(Grachtengordel-West),"€2,700permonth",109m²,4rooms,Upholstered,
HouseLeTourmalet26,1060NXAmsterdam(MiddelveldscheAkerpolder),"€2,000permonth",134m²,4rooms,Upholstered,
ApartmentRuysdaelkade15II,1072AGAmsterdam(OudePijp),"€3,450permonth",101m²,4rooms,Upholstered,
ApartmentLeliegracht25B,1016GRAmsterdam(Grachtengordel-West),"€2,850permonth",92m²,3rooms,,
ApartmentBilderdijkkade,1053VKAmsterdam(VanLennepbuurt),"€2,700permonth",115m²,2rooms,Furnished,
ApartmentSolitudolaan,1096DSAmsterdam(Omval/Overamstel),"€6,500permonth",204m²,7rooms,,
ApartmentBloemstraat13B,1016KVAmsterdam(Jordaan),"€2,850permonth",78m²,3rooms,Furnished,
ApartmentTollensstraat63C,1053RSAmsterdam(Kinkerbuurt),"€1,550permonth",40m²,2rooms,,1906-1930
ApartmentVincentvanGoghstraat,1072KZAmsterdam(NieuwePijp),"€1,500permonth",50m²,2rooms,,1923
ApartmentP.HansFrankfurthersingel,1060TNAmsterdam(MiddelveldscheAkerpolder),"€1,650permonth",78m²,3rooms,,2004
ApartmentBaarsjesweg,1058ADAmsterdam(WestindischeBuurt),"€2,500permonth",50m²,2rooms,Furnished,
ApartmentRooseveltlaan,1079ABAmsterdam(Scheldebuurt),"€2,800permonth",143m²,5rooms,Upholstered,
ApartmentHaparandaweg,1013BDAmsterdam(Houthavens),"€1,488permonth",49m²,1room,,2022
ApartmentOsdorpplein,1068TDAmsterdam(Osdorp-Oost),"€1,900permonth",73m²,3rooms,,2021-2030
ApartmentRustenburgerstraat145,1073EXAmsterdam(NieuwePijp),"€2,450permonth",87m²,3rooms,Upholstered,
ApartmentHerengracht5793,1017CDAmsterdam(Grachtengordel-Zuid),"€3,950permonth",110m²,3rooms,Upholsteredorfurnished,
ApartmentIJburglaan,1087CEAmsterdam(IJburgWest),"€2,600permonth",110m²,2rooms,Furnished,
ApartmentKoningslaan24II,1075ADAmsterdam(Willemspark),"€3,950permonth",83m²,3rooms,Upholstered,
ApartmentVanBoshuizenstraat,1082ARAmsterdam(Buitenveldert-Oost),"€2,450permonth",102m²,3rooms,Furnished,
ApartmentOsdorperBan,1069GAAmsterdam(Osdorp-Midden),"€2,195permonth",95m²,3rooms,Furnished,
ApartmentLeidsegracht,1016CRAmsterdam(Jordaan),"€2,950permonth",106m²,3rooms,Furnished,
ApartmentRijnstraat2221,1079HVAmsterdam(Rijnbuurt),"€2,250permonth",83m²,2rooms,,1934
ApartmentPlanciusstraat,1013MDAmsterdam(Haarlemmerbuurt),"€3,250permonth",157m²,3rooms,Furnished,
ApartmentDamstraat1E,1012JLAmsterdam(Burgwallen-OudeZijde),"€3,500permonth",100m²,3rooms,Furnished,
ApartmentNieuweKeizersgracht63A,1018VDAmsterdam(Weesperbuurt/Plantage),"€3,500permonth",140m²,5rooms,Furnished,
ApartmentKoningslaan24C,1075ADAmsterdam(Willemspark),"€3,950permonth",83m²,3rooms,Upholstered,
