title,price,area,volume,type,year,no_rooms,no_bed,no_bath,no_floor,balcony,garden,interior
For rent: Room Tongerseweg in Maastricht,€635 per month,18 m²,nan,Room,nan,2,nan,nan,nan,nan,nan,Furnished
For rent: House Wijgert Kooijlaan in Huizen,"€1,600 per month",101 m²,277 m³,House,1905,4,3,nan,1,Not present,Present (35 m²),Upholstered or furnished
For rent: House Madeliefstraat in Eindhoven,"€1,195 per month",100 m²,nan,House,nan,5,4,nan,nan,Not present,Present,Upholstered
For rent: Apartment Capucijnengang 1 C in Maastricht,"€1,295 per month",90 m²,nan,Apartment,1890,1,nan,nan,nan,Not present,Not present,nan
For rent: Apartment Dr. Struyckenstraat 98 D44 in Breda,"€1,125 per month",103 m²,nan,Apartment,2008,3,2,nan,nan,Not present,Not present,Shell
For rent: Apartment Vlaskamp 628 in Den Haag,"€1,500 per month",100 m²,340 m³,Apartment,1966,4,2,1,1,Present,Not present,Furnished
For rent: House Piet van de Polsingel 156 in Rotterdam,"€1,950 per month",110 m²,265 m³,House,2000,5,4,1,3,Not present,Present (55 m²),nan
For rent: Apartment Hoofdweg 904 in Rotterdam,"€1,400 per month",92 m²,230 m³,Apartment,2001,3,2,1,1,Present,Not present,Furnished
For rent: Room Don Boscostraat in Eindhoven,€325 per month,18 m²,nan,Room,nan,1,nan,nan,nan,nan,nan,Upholstered
For rent: Room Don Boscostraat in Eindhoven,€340 per month,15 m²,nan,Room,nan,1,nan,nan,nan,nan,nan,Upholstered
For rent: Apartment Nieuwe Ridderstraat in Amsterdam,"€4,950 per month",215 m²,852 m³,Apartment,1932,5,4,2,2,Not present,"Present (54 m², located on the south)",nan
For rent: Apartment Feike de Boerlaan 334 in Amsterdam,"€1,850 per month",77 m²,220 m³,Apartment,2000,1,1,1,1,Not present,"Present (6 m², located on the south-east)",Furnished
For rent: Apartment Leidseweg 65 Bis in Utrecht,"€1,600 per month",106 m²,318 m³,Apartment,1910,5,3,1,2,Present,Not present,nan
For rent: Apartment Keizersgracht 427 1 in Amsterdam,"€2,000 per month",70 m²,210 m³,Apartment,Before 1906,3,2,1,1,Not present,Not present,Furnished
For rent: Apartment Rosa Spierlaan 110 in Amstelveen,"€1,950 per month",75 m²,196 m³,Apartment,1991-2000,3,2,1,2,Present,Not present,Furnished
For rent: Apartment Rembrandtweg 15 C in Amstelveen,"€2,400 per month",98 m²,255 m³,Apartment,1991-2000,3,2,1,1,Present,Not present,Furnished
For rent: Apartment Nassaukade 111 II in Amsterdam,"€3,500 per month",130 m²,315 m³,Apartment,Before 1906,4,2,1,2,Not present,Not present,Upholstered or furnished
For rent: Apartment Cruquiusweg in Amsterdam,"€3,000 per month",105 m²,320 m³,Apartment,2011-2020,3,2,1,1,Not present,Not present,Furnished
For rent: Studio Linschotenstraat in Haarlem,€700 per month,26 m²,nan,Studio,nan,1,1,nan,1,nan,Not present,Upholstered
For rent: Apartment Neringweg 441 in Lelystad,"€1,995 per month",115 m²,345 m³,Apartment,2022,3,2,1,1,Present,Not present,Upholstered
For rent: Apartment Kerkstraat in Rijnsburg,"€1,075 per month",45 m²,nan,Apartment,nan,2,1,1,nan,Not present,Not present,Furnished
For rent: House Beierlandsestraat in Schiedam,"€1,575 per month",83 m²,nan,House,nan,3,2,1,2,nan,Present,Furnished
For rent: Apartment Wolfhezestraat 111 in Den Haag,"€1,750 per month",97 m²,nan,Apartment,nan,4,3,1,nan,Not present,"Present (50 m², located on the south-west)",Upholstered or furnished
For rent: Apartment Prins Hendrikkade in Amsterdam,"€2,250 per month",65 m²,190 m³,Apartment,1744,2,1,1,1,nan,Not present,Furnished
For rent: Apartment Prins Hendrikkade in Amsterdam,"€2,250 per month",65 m²,214 m³,Apartment,1744,3,2,1,1,nan,Not present,Furnished
For rent: Apartment Leliegracht 39 C in Amsterdam,"€2,350 per month",80 m²,210 m³,Apartment,1775,3,2,1,1,Not present,nan,Upholstered
For rent: Room Haagdijk in Breda,€425 per month,19 m²,nan,Room,nan,1,nan,nan,nan,nan,nan,Upholstered
For rent: House Banebergpassage in Landgraaf,€695 per month,180 m²,596 m³,House,1931,7,5,1,4,Present,Present,Furnished
For rent: Apartment Havenstraat in Hilversum,€960 per month,60 m²,nan,Apartment,nan,2,1,1,nan,Not present,Not present,Shell
For rent: House Apostelenpavé in Maastricht,"€5,500 per month",217 m²,nan,House,2022,6,5,nan,nan,nan,Present,Upholstered
For rent: House Dokter Bärstraat in Roermond,"€1,850 per month",116 m²,320 m³,House,2018,4,2,1,2,nan,Present (125 m²),Furnished
For rent: Apartment Hendrik de Keyserstraat in Rotterdam,"€1,250 per month",66 m²,nan,Apartment,nan,2,1,1,nan,Not present,Present,Upholstered
For rent: House Roodmus 22 in Nieuwegein,"€1,800 per month",127 m²,475 m³,House,1979,5,4,1,3,nan,Present (66 m²),Upholstered
For rent: Apartment Karel Doormanstraat in Rotterdam,"€1,200 per month",60 m²,nan,Apartment,nan,4,2,1,nan,Present,Not present,Shell
For rent: Room Kasterenlaan in Tilburg,€265 per month,15 m²,nan,Room,nan,1,nan,nan,nan,nan,nan,Shell
For rent: Apartment Marne in Amstelveen,"€1,495 per month",98 m²,254 m³,Apartment,1972,3,2,1,1,Present,Not present,nan
For rent: Apartment Valderenstraat in Geleen,€650 per month,35 m²,nan,Apartment,nan,2,1,1,nan,Not present,Not present,Upholstered
For rent: Apartment Valderenstraat in Geleen,€700 per month,38 m²,nan,Apartment,nan,2,1,1,nan,Not present,Present (26 m²),Upholstered
For rent: Studio Oosteinde in Delft,"€1,050 per month",25 m²,nan,Studio,nan,1,1,1,nan,Not present,Not present,Upholstered
For rent: Apartment Van Eeghenstraat in Amsterdam,"€2,800 per month",81 m²,nan,Apartment,nan,2,1,1,nan,Present,Not present,Upholstered
For rent: Apartment Gedempte Singel in Assen,€990 per month,46 m²,nan,Apartment,nan,2,1,1,nan,Present,Not present,Upholstered
For rent: Apartment Lutherse Burgwal in Den Haag,"€1,360 per month",68 m²,nan,Apartment,nan,3,2,1,nan,nan,nan,Upholstered
For rent: Apartment Giessenburg 37 in Amsterdam,"€1,760 per month",66 m²,165 m³,Apartment,2020,3,2,1,1,nan,Not present,Upholstered
For rent: House Vlagtwedderstraat in Bourtange,"€11,000 per month",581 m²,1.743 m³,House,1910,45,17,nan,2,nan,Present (3.635 m²),Furnished
For rent: Apartment Jan Evertsenstraat in Amsterdam,"€1,750 per month",65 m²,nan,Apartment,nan,3,2,1,nan,Present,Not present,Upholstered
For rent: Apartment Vlaggemanstraat in Rotterdam,"€1,095 per month",50 m²,nan,Apartment,nan,2,1,1,nan,Present,Not present,Upholstered
For rent: Apartment Generaal De Wetstraat in Haarlem,"€1,950 per month",105 m²,nan,Apartment,nan,5,4,1,nan,Not present,"Present (24 m², located on the south)",Upholstered
For rent: Apartment Obrechtstraat 340 in Den Haag,"€1,350 per month",75 m²,278 m³,Apartment,1928,3,1,1,1,Not present,nan,Upholstered
For rent: Apartment Snelliusstraat 22 in Den Haag,"€2,000 per month",118 m²,423 m³,Apartment,1913,4,2,1,1,Present,nan,Upholstered
For rent: Apartment Astasiastraat 27 H in Amsterdam,"€1,700 per month",65 m²,125 m³,Apartment,1956,3,2,nan,1,Not present,Present,Furnished
For rent: Apartment Tongelresestraat in Eindhoven,"€1,550 per month",80 m²,nan,Apartment,nan,3,1,1,1,Present,Not present,Furnished
For rent: House Liebergerweg in Hilversum,"€1,650 per month",90 m²,225 m³,House,1920,4,nan,nan,4,nan,Present,Upholstered
For rent: Studio Grenulaan in Terneuzen,€995 per month,50 m²,115 m³,Studio,1901,1,1,2,1,Present,Present,Furnished
For rent: Apartment Pieter Cornelisz. Hooftstraat 58 2 in Amsterdam,"€2,250 per month",75 m²,200 m³,Apartment,1872,2,1,1,1,Present,nan,Upholstered or furnished
For rent: Apartment Nassaulaan 25 a in Groningen,"€1,600 per month",140 m²,nan,Apartment,nan,6,5,1,nan,Present,Not present,Upholstered
For rent: Apartment Driekoningendwarsstraat in Arnhem,€660 per month,30 m²,150 m³,Apartment,1860,2,1,nan,1,nan,Not present,Upholstered
For rent: Apartment Steenlaan in Rijswijk,"€1,150 per month",84 m²,nan,Apartment,nan,3,2,1,nan,nan,nan,Upholstered
For rent: Apartment Mauritsplaats in Rotterdam,"€1,600 per month",85 m²,nan,Apartment,nan,3,2,nan,nan,Present,Not present,Furnished
For rent: Apartment Enkstraat 20 in Zwolle,"€1,050 per month",80 m²,nan,Apartment,nan,2,1,1,nan,Not present,Present (16 m²),Upholstered
For rent: Apartment Schiedamseweg Beneden 533 L1 in Rotterdam,"€1,195 per month",59 m²,180 m³,Apartment,1938,3,2,1,1,Present,nan,Upholstered
For rent: Apartment Witte de Withstraat in Den Haag,"€1,495 per month",75 m²,230 m³,Apartment,1913,3,2,nan,1,Present,Present,Furnished
For rent: Apartment Van Malsenstraat in Rotterdam,€995 per month,62 m²,nan,Apartment,nan,4,3,nan,nan,Not present,Not present,Upholstered
For rent: House Dokter Bärstraat in Roermond,"€1,850 per month",116 m²,320 m³,House,2018,4,2,1,2,nan,Present (125 m²),Furnished
For rent: Apartment Albert Cuypstraat 31 1 in Amsterdam,"€1,950 per month",50 m²,153 m³,Apartment,1890,2,1,1,1,Present,Not present,Upholstered or furnished
For rent: Apartment Van Malsenstraat in Rotterdam,€875 per month,54 m²,nan,Apartment,nan,3,1,1,nan,Not present,Not present,Upholstered
For rent: Apartment Van Malsenstraat in Rotterdam,€875 per month,41 m²,nan,Apartment,nan,2,1,1,nan,Not present,Not present,Upholstered
For rent: Apartment Wolstraat 19 rood in Haarlem,"€1,350 per month",40 m²,115 m³,Apartment,1900,2,1,1,2,Not present,Present,Furnished
For rent: Apartment Saturnusstraat in Hoofddorp,"€1,375 per month",42 m²,nan,Apartment,nan,2,1,1,nan,Not present,Not present,Furnished
For rent: Studio Teckop in Kamerik,"€1,325 per month",40 m²,nan,Studio,nan,1,1,1,nan,Not present,Present,Furnished
For rent: Apartment Brandestraat in Geertruidenberg,"€1,500 per month",80 m²,nan,Apartment,1605,3,2,1,nan,nan,nan,Upholstered
For rent: Apartment Professor Pieter Willemsstraat 32 B in Maastricht,"€1,000 per month",93 m²,nan,Apartment,1994,3,2,1,nan,Present,Not present,Shell
For rent: Apartment Gerard Brandtweg 31 in Enkhuizen,€598 per month,42 m²,nan,Apartment,1977,2,1,1,nan,Present,Not present,Shell
For rent: Studio Thomas van Kempenstraat in Tilburg,€788 per month,40 m²,nan,Studio,nan,2,1,nan,nan,nan,nan,nan
For rent: Apartment Plotterweg in Amersfoort,€950 per month,50 m²,nan,Apartment,nan,2,1,1,nan,Not present,nan,nan
For rent: House Lageweg in Holten,"€1,195 per month",126 m²,nan,House,2018,5,3,1,nan,nan,Present (50 m²),Upholstered
For rent: Studio Krijtwal 25 in Nieuwegein,€883 per month,40 m²,nan,Studio,nan,1,1,1,nan,Present,Present,Upholstered or furnished
For rent: Apartment Geldersekade in Amsterdam,"€1,500 per month",55 m²,nan,Apartment,nan,2,1,1,nan,Not present,Not present,Upholstered
For rent: House Grenulaan in Terneuzen,"€1,250 per month",93 m²,300 m³,House,1901,3,2,nan,2,Not present,Present,Furnished
For rent: Apartment Klipperdijk in Lisse,"€1,250 per month",80 m²,nan,Apartment,nan,3,2,1,nan,Present,nan,Upholstered
For rent: Apartment Kroonwerk in Muiden,"€2,000 per month",94 m²,297 m³,Apartment,2022,3,2,1,1,Present,Not present,nan
For rent: Apartment Oogstplein in Enschede,"€1,155 per month",71 m²,nan,Apartment,nan,4,3,nan,nan,nan,nan,Shell
For rent: Apartment Oudezijds Achterburgwal in Amsterdam,"€1,850 per month",69 m²,165 m³,Apartment,1905,3,2,1,1,nan,Not present,Shell
For rent: Apartment Hendrik de Keyserstraat in Rotterdam,"€1,350 per month",73 m²,nan,Apartment,nan,2,1,1,nan,Not present,Not present,Upholstered
For rent: Apartment Veenendaalkade in Den Haag,"€1,895 per month",138 m²,nan,Apartment,nan,5,4,1,nan,Present,Not present,Upholstered
For rent: Apartment Veenendaalkade in Den Haag,"€1,350 per month",84 m²,nan,Apartment,nan,3,2,1,nan,Present,Not present,Upholstered
For rent: Apartment Kepplerstraat 134 A in Den Haag,"€1,750 per month",125 m²,370 m³,Apartment,1910,5,4,1,2,Present,Not present,Upholstered
For rent: Apartment Brinklaan 115 A3 in Bussum,"€1,395 per month",74 m²,182 m³,Apartment,2003,2,1,1,1,Not present,Present (30 m²),Furnished
For rent: Apartment Van Aerssenstraat 209 in Den Haag,"€2,000 per month",150 m²,450 m³,Apartment,1914,4,3,1,1,Not present,"Present (55 m², located on the south-west)",Upholstered
For rent: Apartment Hereweg in Groningen,"€1,275 per month",45 m²,nan,Apartment,nan,2,1,1,nan,Present,Not present,Furnished
For rent: House Turfschip 73 in Amstelveen,"€2,250 per month",103 m²,310 m³,House,1980,4,3,1,2,Not present,Present (1 m²),Furnished
For rent: House Nieuwe Boezemstraat 27 in Rotterdam,"€1,729 per month",187 m²,nan,House,1924,6,5,nan,nan,Present,Present,Shell
For rent: Apartment Plantage Kerklaan in Amsterdam,"€2,395 per month",65 m²,nan,Apartment,nan,2,1,nan,1,nan,Not present,Furnished
For rent: Apartment Kazernestraat 38 in Deventer,"€1,100 per month",75 m²,nan,Apartment,nan,3,2,1,nan,Not present,Not present,Upholstered
For rent: House Kerkevelden in Eersel,"€1,750 per month",127 m²,nan,House,1980,7,4,1,3,nan,Present,Furnished
For rent: House 1e Jerichostraat 57 A in Rotterdam,"€2,500 per month",110 m²,300 m³,House,nan,4,3,1,2,nan,Present,Furnished
For rent: House Winkeldijk 19 AR88 in Vinkeveen,"€1,300 per month",70 m²,nan,House,nan,3,2,1,nan,Not present,Present,Furnished
For rent: Apartment St Antoniusstraat in Eindhoven,"€1,300 per month",55 m²,nan,Apartment,2021,1,1,1,1,nan,Present,Upholstered
For rent: Apartment Noordsingel 172 in Rotterdam,"€1,200 per month",80 m²,200 m³,Apartment,1965,3,2,1,1,Present,Not present,Upholstered or furnished
For rent: House van Wesembekestraat in Vlaardingen,"€1,350 per month",78 m²,nan,House,1957,4,3,nan,nan,Not present,Present,Furnished
For rent: House Rijksstraatweg 365 in Beek,"€1,500 per month",99 m²,nan,House,1910,4,3,1,nan,Not present,Not present,nan
For rent: Apartment De Regent in Eindhoven,"€1,850 per month",95 m²,nan,Apartment,1999,3,2,1,nan,Not present,Not present,Furnished
For rent: Apartment Korte Wijngaardstraat in Haarlem,"€1,250 per month",40 m²,nan,Apartment,nan,2,1,nan,nan,Not present,Present,Furnished
For rent: Studio Hasseltstraat 214 03 in Tilburg,€655 per month,22 m²,nan,Studio,nan,1,1,1,nan,Not present,Not present,Upholstered
For rent: House Clausstraat in Breda,"€2,450 per month",131 m²,nan,House,1999,5,4,2,1,Present,Present,Upholstered
For rent: Apartment Madeliefstraat in Rotterdam,"€1,250 per month",57 m²,nan,Apartment,nan,3,2,1,nan,Present,Not present,Furnished
For rent: Apartment De Rijpgracht 31 2 in Amsterdam,"€1,900 per month",53 m²,138 m³,Apartment,1934,3,2,1,1,Present,Not present,nan
For rent: Apartment Heresingel in Groningen,€950 per month,50 m²,118 m³,Apartment,1885,3,2,nan,1,Not present,Not present,nan
For rent: House Veldmoeren in Breda,"€1,495 per month",120 m²,nan,House,1982,5,4,1,nan,Not present,Present,Upholstered
For rent: Room Professor Cobbenhagenlaan in Tilburg,€525 per month,18 m²,nan,Room,nan,2,nan,nan,nan,nan,nan,nan
For rent: Room Professor Cobbenhagenlaan in Tilburg,€500 per month,14 m²,nan,Room,nan,2,nan,nan,nan,nan,nan,nan
For rent: Apartment Hagengracht in Almelo,€985 per month,86 m²,nan,Apartment,2022,3,2,1,nan,nan,nan,Upholstered
For rent: Apartment Dina Appeldoornstraat in Amsterdam,"€2,950 per month",110 m²,330 m³,Apartment,1957,4,3,nan,1,Present,Not present,Upholstered
For rent: Apartment Bloemendalstraat in Zwolle,€870 per month,40 m²,nan,Apartment,nan,2,1,1,nan,nan,nan,Upholstered
For rent: House van Lenneplaan in Soest,"€2,250 per month",85 m²,255 m³,House,1930,5,3,nan,2,nan,Present,Upholstered
For rent: Apartment Parkstraat in Arnhem,€850 per month,46 m²,nan,Apartment,nan,2,2,nan,nan,Present,Not present,Upholstered
For rent: House Claudiagaarde in Bussum,"€2,450 per month",145 m²,364 m³,House,1964,5,4,2,3,Present,Present,Furnished
For rent: Apartment Ruwaardstraat in Rotterdam,"€1,150 per month",52 m²,173 m³,Apartment,1947,3,1,nan,1,Not present,Not present,nan
For rent: Apartment Ruwaardstraat in Rotterdam,"€1,150 per month",52 m²,173 m³,Apartment,1947,3,1,nan,1,Not present,Not present,nan
For rent: Apartment Westerstraat in Amsterdam,"€1,650 per month",35 m²,nan,Apartment,nan,2,1,1,nan,Present,Not present,Furnished
For rent: Room Tsjerkebuorren in Drachtstercompagnie,€312 per month,50 m²,nan,Room,nan,1,nan,nan,nan,nan,nan,Shell
For rent: House Graspol in Eindhoven,"€1,950 per month",128 m²,461 m³,House,2006,5,4,1,3,Present,Present,Furnished
For rent: Apartment Kazernestraat 16 2 in Amsterdam,"€1,800 per month",63 m²,252 m³,Apartment,1926,3,2,1,1,Present,nan,Upholstered
For rent: Apartment Wethouder Frankeweg 9 1 in Amsterdam,"€1,750 per month",74 m²,250 m³,Apartment,1911,3,2,1,1,Present,nan,Furnished
For rent: Apartment Afroditekade in Amsterdam,"€2,200 per month",100 m²,100 m³,Apartment,1900,2,1,1,1,Present,Present,Upholstered
For rent: Apartment Jansstraat 14 A in Haarlem,"€2,000 per month",87 m²,325 m³,Apartment,1931-1944,3,1,1,2,Not present,"Present (24 m², located on the south-west)",Upholstered or furnished
For rent: Apartment Magdalenastraat 2 B in Utrecht,"€1,900 per month",90 m²,260 m³,Apartment,1450,2,1,1,1,Not present,Present,Upholstered
For rent: House Dokter Bärstraat in Roermond,"€1,850 per month",116 m²,320 m³,House,2018,4,2,1,2,nan,Present (125 m²),Furnished
For rent: House 1e Jerichostraat 57 A in Rotterdam,"€2,500 per month",110 m²,300 m³,House,nan,4,3,1,2,nan,Present,Furnished
For rent: Room De Houtmanstraat in Arnhem,€495 per month,20 m²,nan,Room,nan,1,nan,nan,nan,nan,nan,Upholstered
For rent: Apartment Galjoenstraat in Tilburg,€950 per month,45 m²,nan,Apartment,nan,2,1,nan,nan,nan,Not present,Upholstered
For rent: Apartment Nassaukade in Amsterdam,"€3,250 per month",144 m²,nan,Apartment,nan,5,3,2,nan,Not present,nan,Upholstered
For rent: House Aardoliestraat 6 in Hengelo,"€1,075 per month",108 m²,250 m³,House,1966,3,2,1,1,Not present,Present,Furnished
For rent: Apartment Gasthuisring in Tilburg,"€1,050 per month",63 m²,nan,Apartment,1980,3,2,1,nan,Present,Not present,Upholstered
For rent: House Stoelenmatter in Best,"€1,495 per month",110 m²,nan,House,nan,4,3,nan,nan,nan,Present,Upholstered or furnished
For rent: House Lentfersweg in Rijssen,"€1,450 per month",100 m²,nan,House,1959,3,2,1,nan,nan,Present (140 m²),Furnished
For rent: Apartment Van Slingelandtstraat in Den Haag,€850 per month,40 m²,120 m³,Apartment,1913,2,1,1,1,nan,Not present,Furnished
For rent: House Meidoornstraat 15 in Ell,€975 per month,115 m²,400 m³,House,1953,4,3,1,2,Not present,Present,nan
For rent: Apartment Spaarwaterstraat 24 in Den Haag,"€1,950 per month",130 m²,350 m³,Apartment,1950,5,4,1,2,Present,Not present,Furnished
For rent: Apartment Acaciastraat 113 in Den Haag,"€1,550 per month",105 m²,320 m³,Apartment,1916,4,3,1,1,Present,Not present,Upholstered
For rent: Apartment Leusdenhof 225 in Amsterdam,"€1,650 per month",74 m²,210 m³,Apartment,1980,3,2,1,1,Present,Not present,Furnished
For rent: Room Lage Rijndijk 47 A in Leiden,€450 per month,9 m²,nan,Room,nan,1,nan,nan,nan,nan,nan,Upholstered
For rent: Apartment Oldengaarde in Amsterdam,"€1,500 per month",46 m²,115 m³,Apartment,1962,2,1,1,1,Not present,Present,Furnished
For rent: Apartment Woestduinstraat in Amsterdam,"€2,975 per month",115 m²,356 m³,Apartment,1930,4,3,1,1,Present,Not present,Furnished
For rent: Apartment Roelof Kranenburgplein in Tilburg,"€1,500 per month",87 m²,250 m³,Apartment,1969,4,3,nan,1,Present,Not present,Upholstered or furnished
For rent: Apartment Koestraat in Den Bosch,"€1,300 per month",58 m²,nan,Apartment,1931,3,2,1,nan,nan,nan,Furnished
For rent: Room Melis Stokestraat in Tilburg,€500 per month,20 m²,nan,Room,nan,2,nan,nan,nan,nan,nan,nan
For rent: Apartment Gabriëlstraat in Arnhem,"€1,195 per month",89 m²,250 m³,Apartment,1955,3,2,1,1,nan,Not present,nan
For rent: Apartment Girostraat in Tilburg,"€1,595 per month",104 m²,nan,Apartment,nan,3,2,2,nan,Present,nan,Upholstered
For rent: House Boomgaard 4 in Linne,"€1,375 per month",126 m²,483 m³,House,2022,5,4,1,3,nan,Present (148 m²),Upholstered
For rent: Apartment Nicolaas Maesstraat in Amsterdam,"€2,800 per month",73 m²,260 m³,Apartment,Before 1906,3,2,1,1,Present,Not present,Upholstered
For rent: House Basket in Den Dungen,"€1,495 per month",115 m²,nan,House,nan,4,3,nan,nan,Not present,Present,Upholstered
For rent: House Prins Willem-Alexanderlaan in Kaag,"€2,000 per month",103 m²,nan,House,nan,4,3,nan,1,nan,Not present,Upholstered
For rent: Apartment Limaweg in Waddinxveen,€990 per month,62 m²,155 m³,Apartment,2020,3,2,nan,1,nan,Present,Upholstered
For rent: Studio C.P.Tielestraat 35 A in Rotterdam,€750 per month,30 m²,nan,Studio,nan,1,1,1,nan,Not present,Not present,Upholstered
For rent: House Hoge Hil in Breda,"€1,550 per month",125 m²,nan,House,1990,5,3,1,nan,nan,nan,Furnished
For rent: Apartment Tugelaweg in Amsterdam,"€2,350 per month",67 m²,215 m³,Apartment,1989,3,2,1,1,nan,Present (40 m²),Upholstered
For rent: Apartment Paardekraalstraat in Amsterdam,"€2,150 per month",67 m²,210 m³,Apartment,1910,3,2,1,1,nan,Not present,Upholstered
For rent: Apartment Henrick de Keijserplein 16 in Amsterdam,"€1,750 per month",56 m²,175 m³,Apartment,1916,2,1,1,1,Present,Not present,Furnished
For rent: Apartment Straatweg in Rotterdam,"€1,595 per month",70 m²,150 m³,Apartment,1914,2,1,nan,1,nan,Not present,Furnished
For rent: House Winkeldijk 19 AR88 in Vinkeveen,"€1,300 per month",70 m²,nan,House,nan,3,2,1,nan,Not present,Present,Furnished
For rent: Apartment Amstelkade in Amsterdam,"€2,700 per month",104 m²,359 m³,Apartment,1929,4,2,1,1,Present,Not present,nan
For rent: Apartment Kralingseweg in Rotterdam,"€1,995 per month",82 m²,nan,Apartment,1959,3,2,1,nan,Present,nan,Furnished
For rent: Apartment Meent 26 in Horst,€764 per month,70 m²,nan,Apartment,1984,3,2,1,nan,Present,Not present,Shell
For rent: Apartment Vierambachtsstraat in Rotterdam,"€1,395 per month",65 m²,169 m³,Apartment,1911,3,2,1,1,Present,nan,Upholstered
For rent: Apartment Kronenburgersingel 4 D in Nijmegen,"€1,300 per month",82 m²,nan,Apartment,2005,3,2,1,nan,Present,Not present,Upholstered
For rent: House Plantage in Bruinisse,"€1,350 per month",55 m²,nan,House,nan,3,2,nan,nan,Not present,Present,Furnished
For rent: House Garonnelaan in Eindhoven,"€1,750 per month",141 m²,nan,House,1990,6,5,1,nan,Not present,Present,Furnished
For rent: Apartment Bredestraat in Maastricht,"€1,325 per month",69 m²,nan,Apartment,nan,2,1,1,1,nan,Not present,Upholstered
For rent: Apartment Mariënburgstraat in Arnhem,€875 per month,58 m²,nan,Apartment,2015,2,1,1,1,nan,Not present,Upholstered
For rent: Apartment Smallepad in Amersfoort,"€1,100 per month",54 m²,nan,Apartment,nan,2,2,nan,nan,Present,Not present,Upholstered
For rent: House Zuidpoldersingel in Delfgauw,"€1,850 per month",131 m²,nan,House,1999,5,4,3,nan,nan,"Present (55 m², located on the south-west)",Upholstered
For rent: Room Melis Stokestraat in Tilburg,€500 per month,20 m²,nan,Room,nan,2,nan,nan,nan,nan,nan,nan
For rent: House IJssellaan in Ouderkerk aan den IJssel,"€1,250 per month",58 m²,215 m³,House,1948,4,2,nan,1,nan,Present,Furnished
For rent: Apartment Rietgrachtstraat in Arnhem,€725 per month,47 m²,nan,Apartment,nan,2,2,nan,nan,Not present,Not present,Shell
For rent: Room Krekelveldstraat in Venlo,€350 per month,19 m²,nan,Room,nan,2,nan,nan,nan,nan,nan,Upholstered
For rent: Apartment Samuel Mullerplein in Rotterdam,"€1,795 per month",94 m²,nan,Apartment,nan,4,3,2,nan,Present,Not present,Upholstered
For rent: Room Graaf van Loonlaan 2 in Heythuysen,€270 per month,50 m²,nan,Room,nan,1,nan,nan,nan,nan,nan,Shell
For rent: Apartment Haparandaweg in Amsterdam,"€1,516 per month",55 m²,143 m³,Apartment,2022,1,nan,1,1,nan,Not present,Upholstered
For rent: Apartment Haparandaweg in Amsterdam,"€1,500 per month",55 m²,143 m³,Apartment,2022,1,nan,1,1,nan,Not present,Upholstered
For rent: Apartment Wal in Eindhoven,"€1,700 per month",58 m²,nan,Apartment,nan,2,1,2,1,nan,Not present,Furnished
For rent: Apartment Wal in Eindhoven,"€1,850 per month",95 m²,nan,Apartment,nan,3,2,2,1,nan,Not present,Furnished
For rent: Apartment Schoolstraat 6 a in Zandvoort,"€1,300 per month",80 m²,240 m³,Apartment,1999,3,2,1,1,Present,Not present,Furnished
For rent: House Bolwerksepoort in Nieuw-Vennep,"€2,000 per month",155 m²,390 m³,House,2003,5,4,1,3,Not present,Present,Upholstered or furnished
For rent: Apartment Vasaristraat in Rotterdam,"€2,100 per month",88 m²,nan,Apartment,nan,4,3,1,nan,Not present,Not present,Upholstered
For rent: Apartment Het Bolwerk in Breda,"€1,995 per month",95 m²,270 m³,Apartment,nan,2,1,1,1,nan,Not present,Furnished
For rent: Apartment Groot Schavernek 9 a in Leeuwarden,"€1,050 per month",95 m²,nan,Apartment,1895,3,2,1,nan,Present,Present,nan
For rent: House Baarsveen in Spijkenisse,"€1,600 per month",118 m²,360 m³,House,1974,4,3,nan,1,nan,Present,Upholstered or furnished
For rent: Apartment Leliestraat in Rijswijk,"€1,150 per month",50 m²,nan,Apartment,nan,1,1,1,1,nan,Not present,Furnished
For rent: Apartment Burgemeester Baumannlaan in Rotterdam,"€1,195 per month",60 m²,nan,Apartment,nan,3,2,1,nan,Not present,Not present,Upholstered
For rent: Apartment Govert Flinckstraat in Amsterdam,"€2,000 per month",61 m²,183 m³,Apartment,2016,2,1,1,1,Present,Present,Furnished
For rent: Apartment Minervaplein in Amsterdam,"€2,850 per month",111 m²,320 m³,Apartment,1926,3,1,1,1,Present,Not present,Furnished
For rent: House 1e Jerichostraat 57 A in Rotterdam,"€2,500 per month",110 m²,300 m³,House,nan,4,3,1,2,nan,Present,Furnished
For rent: Apartment Groot Hoogwaak 68 in Noordwijk,"€1,495 per month",62 m²,210 m³,Apartment,2002,2,1,1,1,Not present,"Present (9 m², located on the south-west)",Upholstered
For rent: Apartment Hasseltstraat in Tilburg,"€1,099 per month",52 m²,nan,Apartment,nan,2,1,nan,nan,nan,nan,Upholstered
For rent: Apartment Vondellaan in Utrecht,"€1,795 per month",82 m²,190 m³,Apartment,2000,3,2,1,1,Present,Not present,Furnished
For rent: Apartment Jan Porcellisstraat in Rotterdam,"€1,650 per month",55 m²,nan,Apartment,nan,2,1,1,1,nan,Present,Upholstered or furnished
For rent: Apartment Burgemeester van Fenemaplein 2 1304 in Zandvoort,"€1,475 per month",46 m²,150 m³,Apartment,1967,2,1,nan,1,Present,nan,Upholstered or furnished
